image_file,width,height
data/deviantart/images/0003542.jpeg,1024,768
data/wikiart/images/0002226.jpeg,750,587
data/wikiart/images/0059345.jpeg,738,600
data/wikiart/images/0019345.jpeg,750,497
data/wikiart/images/0020869.jpeg,550,600
data/wikiart/images/0015108.jpeg,719,396
data/wikiart/images/0058666.jpeg,142,600
data/deviantart/images/0014280.jpeg,1200,795
data/deviantart/images/0009117.png,1280,936
data/wikiart/images/0041431.jpeg,450,281
data/wikiart/images/0052916.jpeg,380,600
data/wikiart/images/0048467.jpeg,498,600
data/wikiart/images/0040567.jpeg,436,600
data/deviantart/images/0003795.jpeg,1280,854
data/wikiart/images/0039230.jpeg,462,600
data/wikiart/images/0025729.jpeg,505,600
data/wikiart/images/0049534.jpeg,750,584
data/wikiart/images/0051223.jpeg,380,600
data/wikiart/images/0057213.jpeg,750,553
data/deviantart/images/0014229.jpeg,1400,788
data/deviantart/images/0009822.png,1280,2044
data/wikiart/images/0048032.jpeg,446,600
data/wikiart/images/0042264.jpeg,457,600
data/wikiart/images/0033588.jpeg,531,600
data/wikiart/images/0026664.jpeg,399,600
data/wikiart/images/0046828.jpeg,750,520
data/wikiart/images/0061119.jpeg,470,600
data/wikiart/images/0046851.jpeg,750,516
data/wikiart/images/0051467.jpeg,602,600
data/deviantart/images/0012238.png,841,949
data/wikiart/images/0009479.jpeg,750,525
data/wikiart/images/0014767.jpeg,750,433
data/wikiart/images/0057880.jpeg,317,400
data/wikiart/images/0010607.jpeg,750,521
data/wikiart/images/0055879.jpeg,506,600
data/wikiart/images/0028717.jpeg,568,500
data/wikiart/images/0058102.jpeg,476,600
data/wikiart/images/0058918.jpeg,505,600
data/deviantart/images/0001101.jpeg,800,1193
data/wikiart/images/0001493.jpeg,490,600
data/wikiart/images/0006960.jpeg,750,496
data/wikiart/images/0007267.jpeg,458,600
data/wikiart/images/0021555.jpeg,700,448
data/wikiart/images/0038723.jpeg,415,600
data/deviantart/images/0001428.png,1208,879
data/wikiart/images/0010806.jpeg,750,545
data/wikiart/images/0064319.jpeg,495,600
data/wikiart/images/0034701.jpeg,677,527
data/wikiart/images/0019988.jpeg,600,380
data/wikiart/images/0038759.jpeg,750,508
data/wikiart/images/0007955.jpeg,750,439
data/wikiart/images/0032609.jpeg,500,543
data/wikiart/images/0020295.jpeg,500,600
data/wikiart/images/0023144.jpeg,750,479
data/wikiart/images/0059040.jpeg,472,600
data/wikiart/images/0054582.jpeg,550,364
data/wikiart/images/0028551.jpeg,421,600
data/wikiart/images/0058190.jpeg,332,425
data/wikiart/images/0034927.jpeg,445,600
data/wikiart/images/0011331.jpeg,750,518
data/wikiart/images/0043843.jpeg,299,600
data/wikiart/images/0031782.jpeg,407,600
data/wikiart/images/0060980.jpeg,384,600
data/wikiart/images/0014292.jpeg,740,600
data/wikiart/images/0035169.jpeg,726,600
data/deviantart/images/0013171.png,1024,1600
data/wikiart/images/0010884.jpeg,456,600
data/wikiart/images/0061422.jpeg,727,600
data/wikiart/images/0037235.jpeg,675,600
data/wikiart/images/0009746.jpeg,730,600
data/deviantart/images/0000466.png,99,56
data/wikiart/images/0013122.jpeg,437,600
data/wikiart/images/0045596.jpeg,451,600
data/wikiart/images/0005915.jpeg,415,600
data/wikiart/images/0050544.jpeg,643,600
data/deviantart/images/0003443.jpeg,1920,728
data/wikiart/images/0011815.jpeg,447,600
data/wikiart/images/0027391.jpeg,430,600
data/wikiart/images/0001063.jpeg,750,323
data/wikiart/images/0000587.jpeg,429,600
data/wikiart/images/0033932.jpeg,750,507
data/wikiart/images/0054366.jpeg,750,493
data/wikiart/images/0043260.jpeg,610,600
data/deviantart/images/0000817.jpeg,400,617
data/wikiart/images/0039276.jpeg,750,597
data/wikiart/images/0032686.jpeg,421,600
data/wikiart/images/0009170.jpeg,350,528
data/wikiart/images/0006955.jpeg,298,600
data/wikiart/images/0064428.jpeg,640,479
data/wikiart/images/0053844.jpeg,737,600
data/deviantart/images/0007503.jpeg,1600,869
data/deviantart/images/0012014.jpeg,1834,1342
data/wikiart/images/0045233.jpeg,425,600
data/wikiart/images/0004408.jpeg,750,500
data/wikiart/images/0025609.jpeg,727,600
data/wikiart/images/0015792.jpeg,480,362
data/wikiart/images/0037184.jpeg,427,600
data/deviantart/images/0005488.png,1000,790
data/wikiart/images/0019758.jpeg,316,459
data/wikiart/images/0043602.jpeg,750,551
data/wikiart/images/0039343.jpeg,683,600
data/wikiart/images/0001077.jpeg,272,600
data/wikiart/images/0043261.jpeg,603,600
data/deviantart/images/0003963.jpeg,1024,554
data/wikiart/images/0039344.jpeg,717,600
data/wikiart/images/0049189.jpeg,458,600
data/wikiart/images/0048648.jpeg,750,466
data/wikiart/images/0029719.jpeg,289,600
data/wikiart/images/0036753.jpeg,430,600
data/deviantart/images/0000039.jpeg,864,1080
data/wikiart/images/0002334.jpeg,446,600
data/deviantart/images/0002670.jpeg,1023,765
data/wikiart/images/0056323.jpeg,750,532
data/wikiart/images/0006692.jpeg,750,496
data/wikiart/images/0023794.jpeg,446,450
data/wikiart/images/0021517.jpeg,657,512
data/wikiart/images/0009164.jpeg,426,600
data/wikiart/images/0049426.jpeg,422,504
data/wikiart/images/0021146.jpeg,450,600
data/deviantart/images/0007992.png,1227,788
data/wikiart/images/0053033.jpeg,502,600
data/wikiart/images/0020259.jpeg,450,600
data/wikiart/images/0025650.jpeg,473,600
data/deviantart/images/0013912.png,1280,725
data/wikiart/images/0013280.jpeg,362,471
data/wikiart/images/0016764.jpeg,750,295
data/wikiart/images/0018629.jpeg,478,600
data/deviantart/images/0003496.jpeg,1024,490
data/wikiart/images/0036226.jpeg,403,600
data/wikiart/images/0063670.jpeg,750,509
data/wikiart/images/0005785.jpeg,488,600
data/wikiart/images/0062126.jpeg,398,570
data/wikiart/images/0023811.jpeg,376,450
data/wikiart/images/0027604.jpeg,600,418
data/wikiart/images/0006653.jpeg,750,534
data/wikiart/images/0012262.jpeg,500,401
data/deviantart/images/0002559.png,344,592
data/wikiart/images/0014041.jpeg,463,600
data/wikiart/images/0034174.jpeg,433,600
data/wikiart/images/0035274.jpeg,634,600
data/wikiart/images/0036368.jpeg,750,515
data/wikiart/images/0025647.jpeg,506,600
data/wikiart/images/0035057.jpeg,750,585
data/wikiart/images/0032898.jpeg,729,600
data/wikiart/images/0004410.jpeg,750,445
data/wikiart/images/0060937.jpeg,458,600
data/wikiart/images/0065175.jpeg,750,396
data/wikiart/images/0050935.jpeg,495,600
data/wikiart/images/0059733.jpeg,595,600
data/wikiart/images/0034431.jpeg,314,600
data/wikiart/images/0012682.jpeg,450,600
data/deviantart/images/0000655.png,99,56
data/wikiart/images/0032031.jpeg,397,500
data/wikiart/images/0003261.jpeg,750,600
data/deviantart/images/0007281.jpeg,1024,1024
data/wikiart/images/0002053.jpeg,456,600
data/deviantart/images/0000976.jpeg,900,600
data/wikiart/images/0024317.jpeg,344,450
data/wikiart/images/0051926.jpeg,750,431
data/deviantart/images/0000646.png,99,56
data/wikiart/images/0005625.jpeg,510,600
data/wikiart/images/0051431.jpeg,750,573
data/deviantart/images/0004927.png,824,1100
data/wikiart/images/0012145.jpeg,666,600
data/wikiart/images/0051288.jpeg,393,600
data/wikiart/images/0022428.jpeg,408,600
data/wikiart/images/0065069.jpeg,621,520
data/wikiart/images/0044614.jpeg,750,498
data/wikiart/images/0060670.jpeg,490,600
data/wikiart/images/0017955.jpeg,750,506
data/wikiart/images/0045593.jpeg,469,600
data/wikiart/images/0009107.jpeg,750,548
data/wikiart/images/0027229.jpeg,467,600
data/wikiart/images/0034211.jpeg,750,556
data/wikiart/images/0018432.jpeg,440,600
data/wikiart/images/0023527.jpeg,750,500
data/deviantart/images/0011990.png,800,1006
data/wikiart/images/0048414.jpeg,475,600
data/deviantart/images/0013641.png,776,736
data/wikiart/images/0018919.jpeg,468,600
data/wikiart/images/0056596.jpeg,750,464
data/wikiart/images/0055776.jpeg,750,359
data/wikiart/images/0024570.jpeg,737,600
data/deviantart/images/0006995.jpeg,2560,1440
data/wikiart/images/0053402.jpeg,750,502
data/wikiart/images/0050007.jpeg,750,525
data/deviantart/images/0013616.png,50,50
data/wikiart/images/0006611.jpeg,577,600
data/wikiart/images/0064710.jpeg,750,560
data/wikiart/images/0037480.jpeg,391,600
data/wikiart/images/0030722.jpeg,482,600
data/wikiart/images/0040255.jpeg,750,562
data/wikiart/images/0006024.jpeg,532,600
data/wikiart/images/0012493.jpeg,714,556
data/wikiart/images/0026509.jpeg,474,600
data/wikiart/images/0016412.jpeg,750,507
data/wikiart/images/0015357.jpeg,749,600
data/wikiart/images/0000896.jpeg,435,600
data/wikiart/images/0020014.jpeg,750,472
data/deviantart/images/0004739.png,1920,1080
data/wikiart/images/0015062.jpeg,750,503
data/wikiart/images/0026118.jpeg,713,600
data/deviantart/images/0012609.jpeg,1024,820
data/wikiart/images/0027598.jpeg,464,600
data/wikiart/images/0048388.jpeg,486,600
data/wikiart/images/0039765.jpeg,300,600
data/wikiart/images/0011518.jpeg,750,519
data/wikiart/images/0035945.jpeg,315,600
data/deviantart/images/0009292.png,934,929
data/wikiart/images/0023153.jpeg,497,600
data/deviantart/images/0005860.jpeg,1024,725
data/wikiart/images/0035756.jpeg,750,461
data/wikiart/images/0016916.jpeg,408,600
data/wikiart/images/0029544.jpeg,416,600
data/wikiart/images/0063842.jpeg,750,516
data/wikiart/images/0059046.jpeg,466,600
data/wikiart/images/0037655.jpeg,750,359
data/wikiart/images/0011613.jpeg,750,391
data/wikiart/images/0046464.jpeg,750,556
data/wikiart/images/0065600.jpeg,495,600
data/deviantart/images/0002709.jpeg,1023,765
data/wikiart/images/0024701.jpeg,338,600
data/wikiart/images/0028073.jpeg,750,430
data/wikiart/images/0023896.jpeg,450,345
data/wikiart/images/0017038.jpeg,598,600
data/wikiart/images/0004099.jpeg,750,481
data/wikiart/images/0052446.jpeg,490,600
data/wikiart/images/0063461.jpeg,750,560
data/wikiart/images/0065562.jpeg,347,600
data/deviantart/images/0009508.jpeg,4289,3300
data/wikiart/images/0053500.jpeg,750,532
data/deviantart/images/0004139.jpeg,800,1145
data/wikiart/images/0037138.jpeg,558,600
data/wikiart/images/0039725.jpeg,425,600
data/deviantart/images/0008772.jpeg,700,984
data/wikiart/images/0061384.jpeg,750,446
data/wikiart/images/0055140.jpeg,750,391
data/deviantart/images/0008933.jpeg,1280,877
data/wikiart/images/0012423.jpeg,422,600
data/wikiart/images/0040186.jpeg,491,600
data/wikiart/images/0048083.jpeg,462,600
data/wikiart/images/0043769.jpeg,750,562
data/wikiart/images/0019149.jpeg,474,600
data/deviantart/images/0014832.png,1024,980
data/wikiart/images/0061343.jpeg,473,600
data/wikiart/images/0014071.jpeg,366,442
data/wikiart/images/0009397.jpeg,500,253
data/deviantart/images/0008048.jpeg,1024,1366
data/wikiart/images/0063421.jpeg,442,600
data/deviantart/images/0000736.png,99,56
data/wikiart/images/0032512.jpeg,432,438
data/wikiart/images/0062490.jpeg,483,600
data/wikiart/images/0018741.jpeg,750,537
data/wikiart/images/0043522.jpeg,478,600
data/deviantart/images/0013050.png,500,200
data/wikiart/images/0065082.jpeg,438,600
data/wikiart/images/0059892.jpeg,750,496
data/wikiart/images/0023072.jpeg,473,600
data/wikiart/images/0026177.jpeg,750,589
data/wikiart/images/0061870.jpeg,465,600
data/deviantart/images/0005532.jpeg,1280,1210
data/wikiart/images/0026452.jpeg,304,600
data/deviantart/images/0009041.png,1200,1500
data/wikiart/images/0034333.jpeg,318,600
data/deviantart/images/0010337.jpeg,1024,1446
data/wikiart/images/0060428.jpeg,239,600
data/deviantart/images/0008645.jpeg,1024,768
data/deviantart/images/0001039.jpeg,600,900
data/wikiart/images/0030978.jpeg,750,499
data/deviantart/images/0010919.jpeg,700,700
data/wikiart/images/0054996.jpeg,499,600
data/wikiart/images/0022056.jpeg,470,600
data/wikiart/images/0054590.jpeg,675,442
data/wikiart/images/0021751.jpeg,750,483
data/wikiart/images/0060946.jpeg,381,600
data/wikiart/images/0001508.jpeg,504,600
data/wikiart/images/0016378.jpeg,600,405
data/deviantart/images/0012113.jpeg,1024,863
data/wikiart/images/0032724.jpeg,429,600
data/wikiart/images/0061603.jpeg,490,600
data/wikiart/images/0008947.jpeg,415,600
data/wikiart/images/0032674.jpeg,719,600
data/wikiart/images/0008522.jpeg,750,564
data/wikiart/images/0063054.jpeg,720,501
data/wikiart/images/0032836.jpeg,492,600
data/wikiart/images/0057647.jpeg,448,600
data/deviantart/images/0009069.jpeg,713,1000
data/wikiart/images/0044983.jpeg,750,554
data/wikiart/images/0014579.jpeg,350,267
data/wikiart/images/0053760.jpeg,750,472
data/deviantart/images/0003965.jpeg,1280,692
data/wikiart/images/0015674.jpeg,750,522
data/wikiart/images/0061214.jpeg,343,600
data/wikiart/images/0026938.jpeg,750,560
data/wikiart/images/0035624.jpeg,750,587
data/deviantart/images/0004041.jpeg,1600,900
data/wikiart/images/0010021.jpeg,750,554
data/wikiart/images/0050561.jpeg,460,600
data/wikiart/images/0000256.jpeg,497,600
data/wikiart/images/0038455.jpeg,600,447
data/deviantart/images/0012862.png,500,632
data/wikiart/images/0036590.jpeg,498,600
data/wikiart/images/0004143.jpeg,408,600
data/wikiart/images/0010839.jpeg,664,600
data/wikiart/images/0009863.jpeg,471,600
data/wikiart/images/0047343.jpeg,390,600
data/wikiart/images/0015771.jpeg,480,306
data/wikiart/images/0009795.jpeg,456,600
data/wikiart/images/0003304.jpeg,469,600
data/wikiart/images/0016061.jpeg,750,510
data/wikiart/images/0028480.jpeg,462,600
data/wikiart/images/0065212.jpeg,439,600
data/wikiart/images/0059597.jpeg,336,600
data/wikiart/images/0063085.jpeg,556,600
data/wikiart/images/0055223.jpeg,750,561
data/wikiart/images/0056470.jpeg,750,506
data/deviantart/images/0002823.png,6000,3000
data/deviantart/images/0011922.jpeg,1024,1573
data/wikiart/images/0028609.jpeg,560,434
data/wikiart/images/0042518.jpeg,393,600
data/wikiart/images/0014146.jpeg,464,600
data/deviantart/images/0008606.jpeg,1024,1366
data/wikiart/images/0038603.jpeg,600,496
data/wikiart/images/0060270.jpeg,728,600
data/deviantart/images/0003257.jpeg,1024,649
data/deviantart/images/0002866.png,2136,1452
data/wikiart/images/0039428.jpeg,507,600
data/wikiart/images/0025036.jpeg,732,600
data/wikiart/images/0063388.jpeg,750,575
data/wikiart/images/0028059.jpeg,750,513
data/wikiart/images/0062382.jpeg,509,600
data/wikiart/images/0008492.jpeg,746,600
data/wikiart/images/0043879.jpeg,750,203
data/wikiart/images/0052085.jpeg,289,400
data/wikiart/images/0033035.jpeg,417,600
data/deviantart/images/0004140.jpeg,1279,1600
data/deviantart/images/0003648.jpeg,1024,417
data/wikiart/images/0018503.jpeg,478,600
data/wikiart/images/0062335.jpeg,385,464
data/wikiart/images/0059852.jpeg,574,600
data/wikiart/images/0062583.jpeg,750,516
data/wikiart/images/0040682.jpeg,475,600
data/wikiart/images/0034761.jpeg,514,600
data/wikiart/images/0061167.jpeg,466,600
data/wikiart/images/0010214.jpeg,737,600
data/wikiart/images/0050917.jpeg,431,340
data/wikiart/images/0012957.jpeg,400,521
data/deviantart/images/0012588.jpeg,842,730
data/wikiart/images/0000535.jpeg,480,600
data/wikiart/images/0002983.jpeg,365,600
data/wikiart/images/0007799.jpeg,381,600
data/deviantart/images/0005699.jpeg,1024,1325
data/wikiart/images/0049149.jpeg,750,515
data/wikiart/images/0055936.jpeg,518,600
data/wikiart/images/0034041.jpeg,441,600
data/wikiart/images/0052271.jpeg,448,600
data/wikiart/images/0043566.jpeg,750,328
data/wikiart/images/0020686.jpeg,450,600
data/wikiart/images/0010532.jpeg,460,600
data/wikiart/images/0023025.jpeg,750,492
data/wikiart/images/0002079.jpeg,640,555
data/deviantart/images/0010021.png,1024,1027
data/wikiart/images/0010287.jpeg,711,600
data/wikiart/images/0001846.jpeg,747,600
data/wikiart/images/0064507.jpeg,640,424
data/deviantart/images/0014805.png,1024,804
data/deviantart/images/0014680.jpeg,1024,1583
data/deviantart/images/0014769.jpeg,1600,901
data/wikiart/images/0040502.jpeg,707,600
data/wikiart/images/0063129.jpeg,469,600
data/wikiart/images/0001856.jpeg,713,600
data/wikiart/images/0035924.jpeg,464,600
data/deviantart/images/0002461.png,678,1224
data/deviantart/images/0014372.jpeg,960,713
data/wikiart/images/0042748.jpeg,298,600
data/wikiart/images/0004007.jpeg,695,600
data/wikiart/images/0048869.jpeg,750,562
data/wikiart/images/0039309.jpeg,443,600
data/wikiart/images/0028890.jpeg,481,600
data/wikiart/images/0017112.jpeg,445,512
data/wikiart/images/0040349.jpeg,406,600
data/wikiart/images/0061049.jpeg,413,600
data/wikiart/images/0050985.jpeg,341,600
data/wikiart/images/0026112.jpeg,750,498
data/deviantart/images/0008271.jpeg,1920,1080
data/wikiart/images/0032693.jpeg,750,535
data/wikiart/images/0044818.jpeg,426,600
data/wikiart/images/0056999.jpeg,705,600
data/wikiart/images/0019370.jpeg,424,600
data/deviantart/images/0008688.jpeg,1600,1160
data/wikiart/images/0012988.jpeg,626,600
data/wikiart/images/0017053.jpeg,705,600
data/wikiart/images/0047556.jpeg,750,556
data/deviantart/images/0000982.jpeg,900,600
data/deviantart/images/0002516.png,671,933
data/deviantart/images/0004973.png,1024,1482
data/wikiart/images/0042216.jpeg,439,600
data/wikiart/images/0000798.jpeg,750,544
data/wikiart/images/0062332.jpeg,750,342
data/wikiart/images/0017398.jpeg,476,600
data/wikiart/images/0059247.jpeg,600,600
data/wikiart/images/0022631.jpeg,598,600
data/wikiart/images/0036273.jpeg,750,499
data/wikiart/images/0061439.jpeg,695,600
data/wikiart/images/0001751.jpeg,750,422
data/wikiart/images/0038853.jpeg,750,473
data/wikiart/images/0027336.jpeg,750,580
data/deviantart/images/0004605.jpeg,1024,1326
data/wikiart/images/0045531.jpeg,476,600
data/wikiart/images/0063479.jpeg,456,600
data/wikiart/images/0000024.jpeg,525,600
data/wikiart/images/0028159.jpeg,750,557
data/deviantart/images/0005027.png,2850,3075
data/wikiart/images/0056765.jpeg,239,600
data/wikiart/images/0027497.jpeg,514,600
data/wikiart/images/0029331.jpeg,750,576
